predictor_name,predictor_type,method,n_non_missing,n_levels,pearson_cor,spearman_cor,eta_squared,p_value
is_terminal_stop,categorical,anova_eta_squared,599591,2,NA,NA,0.104573829,0
route_id,categorical,anova_eta_squared,599591,8,NA,NA,0.029430955,0
prev_stop_shared_stop_flag,categorical,anova_eta_squared,599591,2,NA,NA,0.012660247,0
prev_stop_sched_hour_group,categorical,anova_eta_squared,599591,5,NA,NA,0.00990785,0
schedule_season,categorical,anova_eta_squared,599591,5,NA,NA,0.008053371,0
schedule_daytype,categorical,anova_eta_squared,599591,2,NA,NA,0.001485785,6.84E-196
direction,categorical,anova_eta_squared,599591,2,NA,NA,5.54E-04,3.12E-74
curr_stop_shared_stop_flag,categorical,anova_eta_squared,599591,2,NA,NA,5.83E-05,3.32E-09
inherited_prev_trip_delay,numeric,pearson_spearman,599591,NA,0.577780929,0.312300212,NA,NA
carried_within_trip_delay,numeric,pearson_spearman,596006,NA,0.385803033,0.295653395,NA,NA
prev_stop_alightings,numeric,pearson_spearman,599591,NA,0.221133153,0.225163056,NA,NA
prev_stop_onboard,numeric,pearson_spearman,599591,NA,0.203459427,0.08842748,NA,NA
prev_stop_load_factor,numeric,pearson_spearman,599591,NA,0.156954631,0.065837292,NA,NA
stop_sequence,numeric,pearson_spearman,599591,NA,0.14688972,0.193413654,NA,NA
prev_stop_sequence,numeric,pearson_spearman,599591,NA,0.14688972,0.193413654,NA,NA
env_temperature_c,numeric,pearson_spearman,560650,NA,0.115089186,0.074208816,NA,NA
prev_stop_boardings,numeric,pearson_spearman,599591,NA,0.101880232,-0.014848051,NA,NA
expected_water_min,numeric,pearson_spearman,599591,NA,0.081904732,-0.023678821,NA,NA
vessel_capacity,numeric,pearson_spearman,599591,NA,0.079793058,0.072383937,NA,NA
prev_stop_sched_hour,numeric,pearson_spearman,599591,NA,0.071513939,0.025520287,NA,NA
env_visibility_m,numeric,pearson_spearman,560566,NA,0.042431349,0.020533918,NA,NA
vessel_trip_seq_in_chain,numeric,pearson_spearman,599591,NA,0.037964853,0.006873629,NA,NA
planned_turnaround_gap_min,numeric,pearson_spearman,599591,NA,-0.035711374,-0.005793782,NA,NA
prev_stop_hourly_vessel_count_all,numeric,pearson_spearman,599484,NA,0.030457035,0.017306252,NA,NA
scheduled_headway_min,numeric,pearson_spearman,599591,NA,0.027215407,0.047338774,NA,NA
env_battery_water_level_obs,numeric,pearson_spearman,560759,NA,-0.026003,-0.028249917,NA,NA
env_narrows_current_obs,numeric,pearson_spearman,548679,NA,0.024310226,0.024832534,NA,NA
env_precipitation_mm,numeric,pearson_spearman,560759,NA,-0.015135129,-0.02462138,NA,NA
env_battery_water_level_anomaly,numeric,pearson_spearman,560759,NA,-0.013203192,-0.012585301,NA,NA
env_wind_speed_mps,numeric,pearson_spearman,560020,NA,0.012197794,0.012154386,NA,NA
env_narrows_current_residual,numeric,pearson_spearman,548679,NA,-0.008974428,-0.004586991,NA,NA
curr_stop_hourly_vessel_count_all,numeric,pearson_spearman,599484,NA,0.006191109,-0.053521537,NA,NA
