route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RS",3,35,"Wall St./Pier 11",2607,1,26,147
"RS",3,36,"Wall St./Pier 11",2206,1,22,147
"RS",3,37,"Wall St./Pier 11",2307,0,23,149
"RS",3,38,"Wall St./Pier 11",2505,0,25,149
"SB",3,39,"Red Hook/Atlantic Basin",3201,0,32,142
"SB",3,40,"Red Hook/Atlantic Basin",3116,0,31,142
"SB",3,41,"Red Hook/Atlantic Basin",3217,0,32,142
"SB",3,42,"Red Hook/Atlantic Basin",3118,0,31,142
"SB",3,43,"Red Hook/Atlantic Basin",3219,0,32,142
"SB",3,44,"Red Hook/Atlantic Basin",3120,0,31,142
"SB",7,47,"Red Hook/Atlantic Basin",3102,0,31,126
"SB",7,48,"Red Hook/Atlantic Basin",3104,0,31,126
"SB",7,49,"Red Hook/Atlantic Basin",3106,0,31,126
"SB",7,51,"Governors Island",3108,0,31,137
"SB",7,53,"Governors Island",3110,0,31,137
"SB",7,54,"Governors Island",3112,0,31,137
"SB",7,56,"Governors Island",3114,0,31,137
"SB",7,57,"Governors Island",3116,0,31,137
"SB",7,58,"Red Hook/Atlantic Basin",3118,0,31,142
"SB",7,59,"Red Hook/Atlantic Basin",3120,0,31,142
"SB",7,60,"Red Hook/Atlantic Basin",3122,0,31,142
"SB",7,61,"Wall St./Pier 11 Limited",3101,1,31,125
"ER",5,372,"East 34th Street",1201,1,12,9
"ER",5,373,"East 34th Street",1102,1,11,9
"ER",5,374,"East 34th Street",1203,1,12,9
"ER",5,375,"East 34th Street",1104,1,11,9
"ER",5,376,"East 34th Street",1205,1,12,9
"ER",5,377,"East 34th Street",1106,1,11,9
"ER",5,378,"East 34th Street",1207,1,12,9
"ER",5,379,"East 34th Street",1108,1,11,9
"ER",5,381,"East 34th Street",1209,1,12,9
"ER",5,382,"East 34th Street",1110,1,11,9
"ER",5,383,"East 34th Street",1211,1,12,9
"ER",5,384,"East 34th Street",1112,1,11,9
"ER",5,385,"Wall St./Pier 11",1101,0,11,12
"ER",5,386,"Wall St./Pier 11",1202,0,12,12
"ER",5,387,"Wall St./Pier 11",1103,0,11,12
"ER",5,388,"Wall St./Pier 11",1204,0,12,12
"ER",5,389,"Wall St./Pier 11",1105,0,11,12
"ER",5,390,"Wall St./Pier 11",1206,0,12,12
"ER",5,391,"Wall St./Pier 11",1107,0,11,12
"ER",5,392,"Wall St./Pier 11",1208,0,12,12
"ER",5,393,"Wall St./Pier 11",1109,0,11,12
"ER",5,394,"Wall St./Pier 11",1210,0,12,12
"ER",5,395,"Wall St./Pier 11",1111,0,11,12
"ER",5,396,"Wall St./Pier 11",1212,0,12,12
"RS",1,399,"Ferry Point Park",2102,1,21,145
"RS",1,412,"Rockaway",2101,0,21,144
"RS",5,427,"Ferry Point Park",2301,1,23,145
"RS",5,428,"Ferry Point Park",2401,1,24,145
"RS",5,429,"Ferry Point Park",2102,1,21,145
"RS",5,430,"Ferry Point Park",2202,1,22,145
"RS",5,431,"Ferry Point Park",2303,1,23,145
"RS",5,432,"Ferry Point Park",2403,1,24,145
"RS",5,433,"Ferry Point Park",2104,1,21,145
"RS",5,434,"Ferry Point Park",2204,1,22,145
"RS",5,435,"Ferry Point Park",2305,1,23,145
"RS",5,436,"Ferry Point Park",2405,1,24,145
"RS",5,438,"Rockaway",2101,0,21,144
"RS",5,439,"Rockaway",2201,0,22,144
"RS",5,440,"Rockaway",2302,0,23,144
"RS",5,441,"Rockaway",2402,0,24,144
"RS",5,442,"Rockaway",2103,0,21,144
"RS",5,443,"Rockaway",2203,0,22,144
"RS",5,444,"Rockaway",2304,0,23,144
"RS",5,445,"Rockaway",2404,0,24,144
"RS",5,446,"Rockaway",2105,0,21,144
